origin;destination
59.986958,30.300626;59.999986,30.209707
59.986958,30.300626;60.002997,30.262633
59.951302,30.266534;59.999986,30.209707
59.951302,30.266534;60.002997,30.262633
59.908800,30.264589;59.999986,30.209707
59.908800,30.264589;60.002997,30.262633
59.874579,30.303657;59.999986,30.209707
59.874579,30.303657;60.002997,30.262633
59.823585,30.304360;59.999986,30.209707
59.823585,30.304360;60.002997,30.262633
59.878655,30.433490;59.999986,30.209707
59.878655,30.433490;60.002997,30.262633
59.893508,30.510110;59.999986,30.209707
59.893508,30.510110;60.002997,30.262633
